gene_id	gene_civic_url	name	entrez_id	description
70	https://civic.genome.wustl.edu/links/genes/70	BAP1	8314	BAP1 is a deubiquitylase thought to be a key regulator of many cancer-associated pathways. Germline alterations in BAP1 have been characterized as predisposing variants to familial melanocytic skin tumors. These alterations also have been linked to the development of mesothelioma, uveal melanoma, cutaneous melanoma and others. Clinically, the role of BAP1 is still being investigated. However, the development of intradermal tumors known as melanocytic BAP1-associated intradermal tumors (MBAITs) are enough for a patient to be subject to more intense surveillance to catch other malignancies as early as possible.
71	https://civic.genome.wustl.edu/links/genes/71	ERG	2078	
72	https://civic.genome.wustl.edu/links/genes/72	FOXL2	668	
73	https://civic.genome.wustl.edu/links/genes/73	IKZF1	10320	
74	https://civic.genome.wustl.edu/links/genes/74	NCOA3	8202	
75	https://civic.genome.wustl.edu/links/genes/75	PAX8	7849	PAX8 is one of nine transcription factors within the PAX gene family. It has been observed to be expressed during embryonic development however expression attenuates after development in all but a few tissues. Research has indicated that over-expression of PAX proteins in general are not an initiating event in tumorgenesis however they may facilitate malignant development. PAX8 is expressed in 80-96% of all High-grade serous carcinomas (HGSC) and is commonly used as a marker for the disease. In addition PAX8 has become a useful biomarker for differentiating between mullerian mucinous and non-mullerian tumors. PAX8 has also been associated with neoplasms in the kidney and thyroid.
76	https://civic.genome.wustl.edu/links/genes/76	PGR	5241	
77	https://civic.genome.wustl.edu/links/genes/77	SMAD4	4089	
78	https://civic.genome.wustl.edu/links/genes/78	SMARCA4	6597	
79	https://civic.genome.wustl.edu/links/genes/79	TERT	7015	
80	https://civic.genome.wustl.edu/links/genes/80	TTF1	7270	
101	https://civic.genome.wustl.edu/links/genes/101	ABL2	27	
128	https://civic.genome.wustl.edu/links/genes/128	ACTA1	58	
154	https://civic.genome.wustl.edu/links/genes/154	ACVR1	90	
221	https://civic.genome.wustl.edu/links/genes/221	AEBP1	165	
254	https://civic.genome.wustl.edu/links/genes/254	AKT2	208	
259	https://civic.genome.wustl.edu/links/genes/259	ALCAM	214	
353	https://civic.genome.wustl.edu/links/genes/353	BIRC3	330	
355	https://civic.genome.wustl.edu/links/genes/355	BIRC5	332	
389	https://civic.genome.wustl.edu/links/genes/389	AREG	374	
399	https://civic.genome.wustl.edu/links/genes/399	RHOA	387	
446	https://civic.genome.wustl.edu/links/genes/446	ASNS	440	
450	https://civic.genome.wustl.edu/links/genes/450	ASS1	445	
524	https://civic.genome.wustl.edu/links/genes/524	ATR	545	
525	https://civic.genome.wustl.edu/links/genes/525	ATRX	546	
533	https://civic.genome.wustl.edu/links/genes/533	AXL	558	
537	https://civic.genome.wustl.edu/links/genes/537	B2M	567	
549	https://civic.genome.wustl.edu/links/genes/549	BARD1	580	
593	https://civic.genome.wustl.edu/links/genes/593	PRDM1	639	
732	https://civic.genome.wustl.edu/links/genes/732	CALR	811	
761	https://civic.genome.wustl.edu/links/genes/761	CASP8	841	
776	https://civic.genome.wustl.edu/links/genes/776	CBFB	865	CBFB has been shown to be mutated in estrogen receptor positive breast cancer, although the significance of many of these mutations is yet to be determined. The CBFB-MYH11 fusion is a commonly accepted marker of favorable prognosis in acute myeloid leukemia.
779	https://civic.genome.wustl.edu/links/genes/779	CBLB	868	
855	https://civic.genome.wustl.edu/links/genes/855	CD44	960	
888	https://civic.genome.wustl.edu/links/genes/888	CDH1	999	
906	https://civic.genome.wustl.edu/links/genes/906	CDK2	1017	
913	https://civic.genome.wustl.edu/links/genes/913	CDKN1A	1026	
914	https://civic.genome.wustl.edu/links/genes/914	CDKN1B	1027	
916	https://civic.genome.wustl.edu/links/genes/916	CDKN2B	1030	
927	https://civic.genome.wustl.edu/links/genes/927	CDX2	1045	
981	https://civic.genome.wustl.edu/links/genes/981	CHEK1	1111	
1193	https://civic.genome.wustl.edu/links/genes/1193	CREBBP	1387	
1204	https://civic.genome.wustl.edu/links/genes/1204	CRKL	1399	
1234	https://civic.genome.wustl.edu/links/genes/1234	CSF1	1435	
1239	https://civic.genome.wustl.edu/links/genes/1239	CSF3R	1441	
1278	https://civic.genome.wustl.edu/links/genes/1278	CTAG1B	1485	
1285	https://civic.genome.wustl.edu/links/genes/1285	CTLA4	1493	
1290	https://civic.genome.wustl.edu/links/genes/1290	CTNNB1	1499	
1342	https://civic.genome.wustl.edu/links/genes/1342	CYP2D6	1565	
1390	https://civic.genome.wustl.edu/links/genes/1390	DBI	1622	
1396	https://civic.genome.wustl.edu/links/genes/1396	DCC	1630	
1411	https://civic.genome.wustl.edu/links/genes/1411	GADD45A	1647	
1413	https://civic.genome.wustl.edu/links/genes/1413	DDIT3	1649	
1428	https://civic.genome.wustl.edu/links/genes/1428	DEFA1	1667	
1463	https://civic.genome.wustl.edu/links/genes/1463	NQO1	1728	
1510	https://civic.genome.wustl.edu/links/genes/1510	DNMT1	1786	
1526	https://civic.genome.wustl.edu/links/genes/1526	DPYD	1806	
1567	https://civic.genome.wustl.edu/links/genes/1567	DUSP6	1848	
1627	https://civic.genome.wustl.edu/links/genes/1627	EFNA2	1943	
1634	https://civic.genome.wustl.edu/links/genes/1634	EGF	1950	
1646	https://civic.genome.wustl.edu/links/genes/1646	EIF1AX	1964	
1655	https://civic.genome.wustl.edu/links/genes/1655	EIF4EBP1	1978	
1705	https://civic.genome.wustl.edu/links/genes/1705	EPAS1	2034	
1721	https://civic.genome.wustl.edu/links/genes/1721	EPHB4	2050	
1733	https://civic.genome.wustl.edu/links/genes/1733	ERBB3	2065	
1734	https://civic.genome.wustl.edu/links/genes/1734	ERBB4	2066	ErbB4 (HER4) is one of the four members in the EGFR subfamily of receptor tyrosine kinases. Ligands include EGF, epiregulin, betacellulin and the neuregulins (Sundvall et. al.). Of these, NRG3 and NRG4 exclusively bind HER4 (Hynes et. al.).  Mutations in ERBB4 have been identified in various cancer types including melanoma, lung adenocarcinoma and medulloblastoma. A therapeutic value of these aberrations still remains unknown (Arteaga et. al.).
1735	https://civic.genome.wustl.edu/links/genes/1735	ERCC1	2067	
1736	https://civic.genome.wustl.edu/links/genes/1736	ERCC2	2068	ERCC2 functions as a DNA repair gene involved in separating the double helix via 5��-3�� helicase activity. It forms a part of the transcription factor II Human (TFIIH) complex and is ATP-dependent. The TFIIH complex is known to be involved in the nucleotide excision repair pathway (NER) which can repair DNA damage caused by chemotherapeutic treatment and basal transcription. ERCC2 variants have been observed in a variety of cancers. A number of studies have suggested ERCC2 variants can act as biomarkers to predict response to neoadjuvant treatment, and cancer prognosis. Additionally the Lys751Gln polymorphism has been observed to increase risk in a number of cancer types; however, results have been conflicting.
1737	https://civic.genome.wustl.edu/links/genes/1737	EREG	2069	
1741	https://civic.genome.wustl.edu/links/genes/1741	ERCC5	2073	
1763	https://civic.genome.wustl.edu/links/genes/1763	ETS2	2114	
1764	https://civic.genome.wustl.edu/links/genes/1764	ETV1	2115	
1767	https://civic.genome.wustl.edu/links/genes/1767	ETV4	2118	
1768	https://civic.genome.wustl.edu/links/genes/1768	ETV5	2119	
1769	https://civic.genome.wustl.edu/links/genes/1769	ETV6	2120	
1810	https://civic.genome.wustl.edu/links/genes/1810	FANCA	2175	
1811	https://civic.genome.wustl.edu/links/genes/1811	FANCC	2176	
1842	https://civic.genome.wustl.edu/links/genes/1842	FCGR2A	2212	
1843	https://civic.genome.wustl.edu/links/genes/1843	FCGR2B	2213	
1844	https://civic.genome.wustl.edu/links/genes/1844	FCGR3A	2214	
1872	https://civic.genome.wustl.edu/links/genes/1872	FGF2	2247	
1873	https://civic.genome.wustl.edu/links/genes/1873	FGF3	2248	FGF3 is a member of the basic fibroblast growth factor (FGF) gene family and was first identified  based on it's similarity to the mouse proto-oncogene int-2. Amplifications of this gene and the surrounding region (11q13) have been observed in various cancers including breast cancer, esophogeal cancer, melanoma, bladder cancer and hepatocellular carcinoma (HCC). Lower tumor grade and stage have been associated with FGF3 amplifications in HCC; however, this event is fairly rare in this tumor type.
1883	https://civic.genome.wustl.edu/links/genes/1883	FGF13	2258	
1885	https://civic.genome.wustl.edu/links/genes/1885	FGFR1	2260	FGFR1 is a member of the Fibroblast Growth Factor family, comprising of 4 receptors and 18 Ligands.  FGFR1 signalling downstream functions mainly via PI3K and MAPK pathways (Turner et. al.). Several ways of involvement of FGFR1 in cancer have been proposed: auto- and paracrine activation, amplification and overexpression (Marshall et. al,  Weiss et. al.,  Cheng et. al.). Especially amplification of FGFR1 in lung cancer is an emerging treatment target with clinical studies currently ongoing (e.g. NCT01004224). However, FGFR1 amplification does not always correlate with protein expression and predictive biomarkers still remain to be defined in clinic (von M�_ssenhausen et. al.). Mutation of FGFR1 seems to be less common, but has been described in glioblastoma, pilocytic astrocytomas and Ewing's sarcoma (Rand et. al., Jones et. al., Agelopoulos et. al.).
1887	https://civic.genome.wustl.edu/links/genes/1887	FGFR4	2264	
1938	https://civic.genome.wustl.edu/links/genes/1938	FLT4	2324	
1950	https://civic.genome.wustl.edu/links/genes/1950	FNTB	2342	
1955	https://civic.genome.wustl.edu/links/genes/1955	FOS	2353	
2073	https://civic.genome.wustl.edu/links/genes/2073	MTOR	2475	mTOR deregulation has been observed in many cancer types. As a part of the PI3K/Akt pathway, there is a broad interest in mTOR biology across cancer types. mTOR inhibition has been investigated for nearly a decade. Everolimus, temsirolimus and zotarolimus are three of the more commonly used mTOR inhibitors used in clinical treatment today, with modest success.
2186	https://civic.genome.wustl.edu/links/genes/2186	GAS6	2621	
2239	https://civic.genome.wustl.edu/links/genes/2239	B4GALT1	2683	
2279	https://civic.genome.wustl.edu/links/genes/2279	GLI1	2735	
2308	https://civic.genome.wustl.edu/links/genes/2308	GNA11	2767	
2317	https://civic.genome.wustl.edu/links/genes/2317	GNAQ	2776	
2319	https://civic.genome.wustl.edu/links/genes/2319	GNAS	2778	
2473	https://civic.genome.wustl.edu/links/genes/2473	GSTP1	2950	
2478	https://civic.genome.wustl.edu/links/genes/2478	MSH6	2956	
2537	https://civic.genome.wustl.edu/links/genes/2537	H3F3A	3020	
2538	https://civic.genome.wustl.edu/links/genes/2538	H3F3B	3021	
2591	https://civic.genome.wustl.edu/links/genes/2591	HGF	3082	
2593	https://civic.genome.wustl.edu/links/genes/2593	NRG1	3084	
2596	https://civic.genome.wustl.edu/links/genes/2596	HIF1A	3091	
2608	https://civic.genome.wustl.edu/links/genes/2608	HLA-C	3107	
2622	https://civic.genome.wustl.edu/links/genes/2622	HLA-DRA	3122	
2657	https://civic.genome.wustl.edu/links/genes/2657	HMOX1	3162	
2747	https://civic.genome.wustl.edu/links/genes/2747	HRAS	3265	
2778	https://civic.genome.wustl.edu/links/genes/2778	HSPA5	3309	
2784	https://civic.genome.wustl.edu/links/genes/2784	HSPB1	3315	
2899	https://civic.genome.wustl.edu/links/genes/2899	IGF1R	3480	
2975	https://civic.genome.wustl.edu/links/genes/2975	IL7R	3575	
3090	https://civic.genome.wustl.edu/links/genes/3090	JAK1	3716	
3091	https://civic.genome.wustl.edu/links/genes/3091	JAK3	3718	
3094	https://civic.genome.wustl.edu/links/genes/3094	JUN	3725	
3153	https://civic.genome.wustl.edu/links/genes/3153	KDR	3791	
3215	https://civic.genome.wustl.edu/links/genes/3215	KRT18	3875	
3236	https://civic.genome.wustl.edu/links/genes/3236	LAG3	3902	
3255	https://civic.genome.wustl.edu/links/genes/3255	STMN1	3925	
3274	https://civic.genome.wustl.edu/links/genes/3274	LEPR	3953	
3359	https://civic.genome.wustl.edu/links/genes/3359	LYN	4067	
3364	https://civic.genome.wustl.edu/links/genes/3364	EPCAM	4072	
3465	https://civic.genome.wustl.edu/links/genes/3465	MDM2	4193	
3466	https://civic.genome.wustl.edu/links/genes/3466	MDM4	4194	
3485	https://civic.genome.wustl.edu/links/genes/3485	MEN1	4221	
3527	https://civic.genome.wustl.edu/links/genes/3527	MITF	4286	
3529	https://civic.genome.wustl.edu/links/genes/3529	MKI67	4288	
3532	https://civic.genome.wustl.edu/links/genes/3532	MLH1	4292	MLH1 is a tumor suppressor gene involved in DNA mismatch repair. Germline mutations in this gene are known to cause Lynch syndrome. The most common malignancies in Lynch syndrome are colorectal and endometrial carcinomas. In addition to germline mutations, somatic mutations in this gene have been described in colorectal and endometrial cancers.
3537	https://civic.genome.wustl.edu/links/genes/3537	KMT2A	4297	
3549	https://civic.genome.wustl.edu/links/genes/3549	MMP2	4313	
3553	https://civic.genome.wustl.edu/links/genes/3553	MMP9	4318	
3577	https://civic.genome.wustl.edu/links/genes/3577	MPL	4352	
3586	https://civic.genome.wustl.edu/links/genes/3586	MRE11	4361	
3628	https://civic.genome.wustl.edu/links/genes/3628	MSH2	4436	
3659	https://civic.genome.wustl.edu/links/genes/3659	MTAP	4507	
3672	https://civic.genome.wustl.edu/links/genes/3672	MTHFR	4524	
3737	https://civic.genome.wustl.edu/links/genes/3737	MYC	4609	
3738	https://civic.genome.wustl.edu/links/genes/3738	MYCL	4610	
3741	https://civic.genome.wustl.edu/links/genes/3741	MYCN	4613	
3742	https://civic.genome.wustl.edu/links/genes/3742	MYD88	4615	
3801	https://civic.genome.wustl.edu/links/genes/3801	NBN	4683	
3852	https://civic.genome.wustl.edu/links/genes/3852	NEDD9	4739	
3867	https://civic.genome.wustl.edu/links/genes/3867	NF1	4763	
3870	https://civic.genome.wustl.edu/links/genes/3870	NF2	4771	
3976	https://civic.genome.wustl.edu/links/genes/3976	NT5E	4907	
3983	https://civic.genome.wustl.edu/links/genes/3983	NTRK1	4914	
3984	https://civic.genome.wustl.edu/links/genes/3984	NTRK2	4915	
3985	https://civic.genome.wustl.edu/links/genes/3985	NTRK3	4916	
4176	https://civic.genome.wustl.edu/links/genes/4176	PDGFRB	5159	
4244	https://civic.genome.wustl.edu/links/genes/4244	ABCB1	5243	
4286	https://civic.genome.wustl.edu/links/genes/4286	PIM1	5292	
4289	https://civic.genome.wustl.edu/links/genes/4289	PIK3R1	5295	
4290	https://civic.genome.wustl.edu/links/genes/4290	PIK3R2	5296	
4327	https://civic.genome.wustl.edu/links/genes/4327	PLCG2	5336	
4371	https://civic.genome.wustl.edu/links/genes/4371	PMS2	5395	
4384	https://civic.genome.wustl.edu/links/genes/4384	POLD1	5424	
4386	https://civic.genome.wustl.edu/links/genes/4386	POLE	5426	
4419	https://civic.genome.wustl.edu/links/genes/4419	POU5F1	5460	
4503	https://civic.genome.wustl.edu/links/genes/4503	PRKAA2	5563	
4517	https://civic.genome.wustl.edu/links/genes/4517	PRKCB	5579	
4532	https://civic.genome.wustl.edu/links/genes/4532	MAPK1	5594	
4542	https://civic.genome.wustl.edu/links/genes/4542	MAP2K2	5605	
4546	https://civic.genome.wustl.edu/links/genes/4546	MAP2K7	5609	
4616	https://civic.genome.wustl.edu/links/genes/4616	PSMB8	5696	
4630	https://civic.genome.wustl.edu/links/genes/4630	PSMD4	5710	
4645	https://civic.genome.wustl.edu/links/genes/4645	PTCH1	5727	
4659	https://civic.genome.wustl.edu/links/genes/4659	PTGS2	5743	
4682	https://civic.genome.wustl.edu/links/genes/4682	PTPN6	5777	
4685	https://civic.genome.wustl.edu/links/genes/4685	PTPN11	5781	
4686	https://civic.genome.wustl.edu/links/genes/4686	PTPN12	5782	
4690	https://civic.genome.wustl.edu/links/genes/4690	PTPRB	5787	
4692	https://civic.genome.wustl.edu/links/genes/4692	PTPRD	5789	
4695	https://civic.genome.wustl.edu/links/genes/4695	PTPRF	5792	
4753	https://civic.genome.wustl.edu/links/genes/4753	RAC1	5879	The RAC1 P29S mutation is the third most common protein-coding hotspot mutation in melanomas, ocurring in 4-9%. A preclinical study has shown that this mutation confers resistance to BRAF inhibition in-vitro.
4760	https://civic.genome.wustl.edu/links/genes/4760	RAD23B	5887	
4765	https://civic.genome.wustl.edu/links/genes/4765	RAD51D	5892	
4767	https://civic.genome.wustl.edu/links/genes/4767	RAF1	5894	
4791	https://civic.genome.wustl.edu/links/genes/4791	RASA1	5921	
4795	https://civic.genome.wustl.edu/links/genes/4795	RB1	5925	
4868	https://civic.genome.wustl.edu/links/genes/4868	RHEB	6009	
4875	https://civic.genome.wustl.edu/links/genes/4875	RIT1	6016	
4941	https://civic.genome.wustl.edu/links/genes/4941	ROS1	6098	ROS1 is a receptor tyrosine kinase that is frequently involved in genetic rearrangement in a variety of human cancers (e.g. NSCLC, gastric cancer, ovarian cancer, cholangiocarcinoma, colorectal cancer, angiosarcoma...). The resulting fusion protein harbors the constitutively active ROS1 kinase domain and drives cellular proliferation (Davies et. al.). In NSCLC about 1% harbor a ROS1 rearrangement. These patients are predominantely female and have a lower T-stage (Warth et. al.). Treatment with crizotinib leads to a reported objective response rate of appr. 70% and a median duration of response of 18 months (Shaw et. al.). Resistance mechanisms to crizotinib have been described and involve mutations in the kinase domain. More selective inhibitors of ROS1 might overcome this resistance (Davare et. al.).
5013	https://civic.genome.wustl.edu/links/genes/5013	RPS6	6194	
5051	https://civic.genome.wustl.edu/links/genes/5051	RRM1	6240	
5052	https://civic.genome.wustl.edu/links/genes/5052	RRM2	6241	
5128	https://civic.genome.wustl.edu/links/genes/5128	SCN8A	6334	
5167	https://civic.genome.wustl.edu/links/genes/5167	CX3CL1	6376	
5177	https://civic.genome.wustl.edu/links/genes/5177	SDHB	6390	
5210	https://civic.genome.wustl.edu/links/genes/5210	SRSF2	6427	
5225	https://civic.genome.wustl.edu/links/genes/5225	SGK1	6446	
5356	https://civic.genome.wustl.edu/links/genes/5356	SMARCB1	6598	
5365	https://civic.genome.wustl.edu/links/genes/5365	SMO	6608	
5418	https://civic.genome.wustl.edu/links/genes/5418	SOX10	6663	
5500	https://civic.genome.wustl.edu/links/genes/5500	SSX1	6756	
5501	https://civic.genome.wustl.edu/links/genes/5501	SSX2	6757	
5503	https://civic.genome.wustl.edu/links/genes/5503	SSX4	6759	
5516	https://civic.genome.wustl.edu/links/genes/5516	STAT3	6774	
5525	https://civic.genome.wustl.edu/links/genes/5525	SULT1E1	6783	
5534	https://civic.genome.wustl.edu/links/genes/5534	STK11	6794	
5572	https://civic.genome.wustl.edu/links/genes/5572	SYK	6850	
5649	https://civic.genome.wustl.edu/links/genes/5649	ZEB1	6935	
5731	https://civic.genome.wustl.edu/links/genes/5731	NR2F2	7026	
5737	https://civic.genome.wustl.edu/links/genes/5737	TFF3	7033	
5742	https://civic.genome.wustl.edu/links/genes/5742	TGFA	7039	
5761	https://civic.genome.wustl.edu/links/genes/5761	THBS2	7058	
5777	https://civic.genome.wustl.edu/links/genes/5777	TIMP1	7076	
5813	https://civic.genome.wustl.edu/links/genes/5813	TMPRSS2	7113	
5845	https://civic.genome.wustl.edu/links/genes/5845	TOP1	7150	
5848	https://civic.genome.wustl.edu/links/genes/5848	TOP2A	7153	
5870	https://civic.genome.wustl.edu/links/genes/5870	TPT1	7178	
5939	https://civic.genome.wustl.edu/links/genes/5939	TSPYL1	7259	
5971	https://civic.genome.wustl.edu/links/genes/5971	TYMS	7298	
6023	https://civic.genome.wustl.edu/links/genes/6023	UGT1A	7361	
6071	https://civic.genome.wustl.edu/links/genes/6071	VEGFA	7422	
6104	https://civic.genome.wustl.edu/links/genes/6104	WEE1	7465	
6144	https://civic.genome.wustl.edu/links/genes/6144	XRCC1	7515	
6329	https://civic.genome.wustl.edu/links/genes/6329	CXCR4	7852	
6538	https://civic.genome.wustl.edu/links/genes/6538	KDM5C	8242	
6559	https://civic.genome.wustl.edu/links/genes/6559	ARID1A	8289	
6906	https://civic.genome.wustl.edu/links/genes/6906	ABCC3	8714	
7009	https://civic.genome.wustl.edu/links/genes/7009	CFLAR	8837	
7014	https://civic.genome.wustl.edu/links/genes/7014	PROM1	8842	
7024	https://civic.genome.wustl.edu/links/genes/7024	ALDH1A2	8854	
7041	https://civic.genome.wustl.edu/links/genes/7041	SPHK1	8877	
7297	https://civic.genome.wustl.edu/links/genes/7297	PTTG1	9232	
7451	https://civic.genome.wustl.edu/links/genes/7451	ABCG2	9429	
7502	https://civic.genome.wustl.edu/links/genes/7502	KIF23	9493	
7936	https://civic.genome.wustl.edu/links/genes/7936	AKT3	10000	
7953	https://civic.genome.wustl.edu/links/genes/7953	BCL2L11	10018	
7954	https://civic.genome.wustl.edu/links/genes/7954	SH2B3	10019	
8032	https://civic.genome.wustl.edu/links/genes/8032	RAD50	10111	
8160	https://civic.genome.wustl.edu/links/genes/8160	SPRY2	10253	
8262	https://civic.genome.wustl.edu/links/genes/8262	TUBB3	10381	
8292	https://civic.genome.wustl.edu/links/genes/8292	YAP1	10413	
8331	https://civic.genome.wustl.edu/links/genes/8331	MERTK	10461	
8351	https://civic.genome.wustl.edu/links/genes/8351	HOXB13	10481	
8407	https://civic.genome.wustl.edu/links/genes/8407	AGR2	10551	
8450	https://civic.genome.wustl.edu/links/genes/8450	SLCO1B1	10599	
8524	https://civic.genome.wustl.edu/links/genes/8524	DLL3	10683	
8552	https://civic.genome.wustl.edu/links/genes/8552	STAG3	10734	
8553	https://civic.genome.wustl.edu/links/genes/8553	STAG2	10735	
8614	https://civic.genome.wustl.edu/links/genes/8614	HSPH1	10808	
8787	https://civic.genome.wustl.edu/links/genes/8787	TLK2	11011	
8878	https://civic.genome.wustl.edu/links/genes/8878	PTPRT	11122	
8908	https://civic.genome.wustl.edu/links/genes/8908	PTP4A3	11156	
8950	https://civic.genome.wustl.edu/links/genes/8950	CHEK2	11200	
9171	https://civic.genome.wustl.edu/links/genes/9171	DKK1	22943	
9189	https://civic.genome.wustl.edu/links/genes/9189	NT5C2	22978	This gene, when mutated to be over-active, has been linked to chemotherapy resistance in relapsed T-cell Acute Lymphoblastic Leukemia.
9326	https://civic.genome.wustl.edu/links/genes/9326	CIC	23152	
9533	https://civic.genome.wustl.edu/links/genes/9533	DICER1	23405	
9538	https://civic.genome.wustl.edu/links/genes/9538	SIRT1	23411	
9588	https://civic.genome.wustl.edu/links/genes/9588	BRD4	23476	
9705	https://civic.genome.wustl.edu/links/genes/9705	CBLC	23624	
9722	https://civic.genome.wustl.edu/links/genes/9722	PPP1R15A	23645	
9935	https://civic.genome.wustl.edu/links/genes/9935	POT1	25913	
9952	https://civic.genome.wustl.edu/links/genes/9952	WWTR1	25937	
10024	https://civic.genome.wustl.edu/links/genes/10024	SETBP1	26040	
10573	https://civic.genome.wustl.edu/links/genes/10573	PDCD4	27250	
11261	https://civic.genome.wustl.edu/links/genes/11261	MAGEH1	28986	
11314	https://civic.genome.wustl.edu/links/genes/11314	DROSHA	29102	
11322	https://civic.genome.wustl.edu/links/genes/11322	TBK1	29110	
11335	https://civic.genome.wustl.edu/links/genes/11335	CD274	29126	CD274, also commonly referred to as PDL1, is a ligand that binds with the receptor PD1, commonly found on T-cells, and acts to block T-cell activation. PD1 expression has been observed in a variety of cancers including melanoma and non-small cell lung cancer. The interaction of PD1/PDL1 is hypothesized to be a possible mechanism for the tumor to escape immune response. A number of checkpoint blockade inhibitors including pembrolizumab and nivolumab have been developed that target the PD1/PDL1 interaction in order to allow T-cells to recognize tumor cells without being deactivated by the tumor.
11492	https://civic.genome.wustl.edu/links/genes/11492	CTAG2	30848	
11587	https://civic.genome.wustl.edu/links/genes/11587	FOXP3	50943	
11761	https://civic.genome.wustl.edu/links/genes/11761	CRBN	51185	
11932	https://civic.genome.wustl.edu/links/genes/11932	DDX41	51428	
12074	https://civic.genome.wustl.edu/links/genes/12074	SUFU	51684	
12112	https://civic.genome.wustl.edu/links/genes/12112	CDK12	51755	
12121	https://civic.genome.wustl.edu/links/genes/12121	RSF1	51773	
12146	https://civic.genome.wustl.edu/links/genes/12146	LRP1B	53353	LRP1B is a putative tumor suppressor and a member of the low-density lipoprotein (LDL) receptor family. The LDL receptor family have roles related to clearance of extracellular ligand and are proposed to be involved in extracellular signal transduction. silencing and down-expression of LRP1B as been observed in renal cell carcinoma and thyroid cancer. Further Deletion of LRP1B has been associated with chemotherapy resistance in high-grade serous cancers.
12271	https://civic.genome.wustl.edu/links/genes/12271	ERRFI1	54206	
12367	https://civic.genome.wustl.edu/links/genes/12367	ROBO4	54538	
12422	https://civic.genome.wustl.edu/links/genes/12422	UGT1A1	54658	
12555	https://civic.genome.wustl.edu/links/genes/12555	BCOR	54880	
12903	https://civic.genome.wustl.edu/links/genes/12903	FBXW7	55294	
13005	https://civic.genome.wustl.edu/links/genes/13005	DDX43	55510	
13276	https://civic.genome.wustl.edu/links/genes/13276	PBK	55872	
13465	https://civic.genome.wustl.edu/links/genes/13465	POLE4	56655	
13948	https://civic.genome.wustl.edu/links/genes/13948	KIAA1524	57650	
14089	https://civic.genome.wustl.edu/links/genes/14089	KMT2C	58508	
14195	https://civic.genome.wustl.edu/links/genes/14195	PAPPA2	60676	
14284	https://civic.genome.wustl.edu/links/genes/14284	PBLD	64081	
14303	https://civic.genome.wustl.edu/links/genes/14303	CRLF2	64109	
14842	https://civic.genome.wustl.edu/links/genes/14842	BIRC7	79444	BIRC7 encodes the protein Livin which is a member of the inhibitor of apoptosis protein (IAP) family. Livin consists of a single baculoviral IAP repeat domain (BIR) and a RING domian at the C-terminus. The protein inhibits apoptosis by inhibiting proteolytic activation of capsases.  Overexpression of Livin has been observed in a variety of cancers including lung, colon, and prostate compared to most normal adult tissues and has been proposed as a putative therapeutic target.
15013	https://civic.genome.wustl.edu/links/genes/15013	PALB2	79728	
15344	https://civic.genome.wustl.edu/links/genes/15344	PREX2	80243	
15403	https://civic.genome.wustl.edu/links/genes/15403	PDCD1LG2	80380	
16394	https://civic.genome.wustl.edu/links/genes/16394	HAVCR2	84868	
16656	https://civic.genome.wustl.edu/links/genes/16656	ABCC10	89845	
16872	https://civic.genome.wustl.edu/links/genes/16872	SLFN11	91607	
17016	https://civic.genome.wustl.edu/links/genes/17016	NAPRT	93100	
18353	https://civic.genome.wustl.edu/links/genes/18353	VPS37A	137492	
18364	https://civic.genome.wustl.edu/links/genes/18364	PXDNL	137902	
18420	https://civic.genome.wustl.edu/links/genes/18420	AMER1	139285	
19959	https://civic.genome.wustl.edu/links/genes/19959	FLCN	201163	
20480	https://civic.genome.wustl.edu/links/genes/20480	RICTOR	253260	
22231	https://civic.genome.wustl.edu/links/genes/22231	ATXN1L	342371	
24938	https://civic.genome.wustl.edu/links/genes/24938	MIR218-1	407000	
26599	https://civic.genome.wustl.edu/links/genes/26599	ECSCR	641700	
32083	https://civic.genome.wustl.edu/links/genes/32083	KLLN	100144748	
34321	https://civic.genome.wustl.edu/links/genes/34321	DUX4	100288687	
				
